Row,ID,Code,Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Origin,Tilt angle,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Averaging start,Averaging end,Samples,PDOP,GDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,Mount point,CS name,GPS Satellites,GLONASS Satellites,Galileo Satellites,BeiDou Satellites,QZSS Satellites
9,1,,,,,,-77.01115866,42.89455904,143.653,Global,3.5,0.012,0.012,0.011,0.016,1.434,m,FIX,2024-09-06 14:15:07.6 UTC-04:00,2024-09-06 14:15:07.6 UTC-04:00,1,1.8,2,,,,-77.03121841,42.87830435,190.511,2438.855,mountpoint3,Global CS,6,9,0,0,0
9,2,,,,,,-77.011157,42.89454375,143.601,Global,0.8,0.011,0.011,0.011,0.016,1.434,m,FIX,2024-09-06 14:15:31.8 UTC-04:00,2024-09-06 14:15:31.8 UTC-04:00,1,1.7,2,,,,-77.03121841,42.87830435,190.511,2437.754,mountpoint3,Global CS,6,9,0,0,0
9,3,,,,,,-77.01115705,42.89452704,143.558,Global,0.5,0.011,0.011,0.011,0.016,1.434,m,FIX,2024-09-06 14:15:51.0 UTC-04:00,2024-09-06 14:15:51.0 UTC-04:00,1,1.7,2,,,,-77.03121841,42.87830435,190.511,2436.393,mountpoint3,Global CS,6,9,0,0,0
9,4,,,,,,-77.01115671,42.89450962,143.53,Global,3.2,0.012,0.012,0.012,0.016,1.434,m,FIX,2024-09-06 14:16:15.6 UTC-04:00,2024-09-06 14:16:15.6 UTC-04:00,1,1.7,2,,,,-77.03121841,42.87830435,190.511,2434.988,mountpoint3,Global CS,6,9,0,0,0
9,5,,,,,,-77.01115469,42.89449539,143.481,Global,0.4,0.011,0.011,0.01,0.016,1.434,m,FIX,2024-09-06 14:16:27.2 UTC-04:00,2024-09-06 14:16:27.2 UTC-04:00,1,1.7,2,,,,-77.03121841,42.87830435,190.511,2433.935,mountpoint3,Global CS,6,9,0,0,0
9,6,,,,,,-77.01115547,42.89447613,143.421,Global,5.8,0.012,0.012,0.016,0.017,1.434,m,FIX,2024-09-06 14:17:07.8 UTC-04:00,2024-09-06 14:17:07.8 UTC-04:00,1,2,2.4,,,,-77.03121841,42.87830435,190.511,2432.209,mountpoint3,Global CS,6,9,0,0,0
9,7,,,,,,-77.01115526,42.89445997,143.416,Global,1,0.011,0.011,0.019,0.016,1.434,m,FIX,2024-09-06 14:17:20.0 UTC-04:00,2024-09-06 14:17:20.0 UTC-04:00,1,2,2.4,,,,-77.03121841,42.87830435,190.511,2430.993,mountpoint3,Global CS,6,9,0,0,0
9,8,,,,,,-77.0111553,42.89445992,143.43,Global,0.9,0.011,0.011,0.015,0.016,1.434,m,FIX,2024-09-06 14:17:22.0 UTC-04:00,2024-09-06 14:17:22.0 UTC-04:00,1,2,2.4,,,,-77.03121841,42.87830435,190.511,2430.986,mountpoint3,Global CS,6,9,0,0,0
9,11,,,,,,-77.01115429,42.89439424,143.268,Global,2.5,0.012,0.012,0.016,0.016,1.434,m,FIX,2024-09-06 14:19:02.8 UTC-04:00,2024-09-06 14:19:02.8 UTC-04:00,1,1.5,1.7,,,,-77.03121841,42.87830435,190.511,2425.694,mountpoint3,Global CS,7,9,0,0,0
9,12,,,,,,-77.01115442,42.8943783,143.264,Global,0.6,0.011,0.011,0.011,0.016,1.434,m,FIX,2024-09-06 14:19:15.2 UTC-04:00,2024-09-06 14:19:15.2 UTC-04:00,1,1.5,1.7,,,,-77.03121841,42.87830435,190.511,2424.344,mountpoint3,Global CS,7,9,0,0,0
9,13,,,,,,-77.01115411,42.8943632,143.213,Global,4.8,0.013,0.013,0.016,0.018,1.434,m,FIX,2024-09-06 14:19:26.4 UTC-04:00,2024-09-06 14:19:26.4 UTC-04:00,1,1.5,1.7,,,,-77.03121841,42.87830435,190.511,2423.024,mountpoint3,Global CS,7,9,0,0,0
9,14,,,,,,-77.01115535,42.8943465,143.177,Global,1.8,0.012,0.012,0.014,0.016,1.434,m,FIX,2024-09-06 14:19:44.2 UTC-04:00,2024-09-06 14:19:44.2 UTC-04:00,1,1.5,1.7,,,,-77.03121841,42.87830435,190.511,2421.657,mountpoint3,Global CS,7,9,0,0,0
9,15,,,,,,-77.01115526,42.89432934,143.148,Global,5.7,0.012,0.012,0.013,0.017,1.434,m,FIX,2024-09-06 14:19:53.6 UTC-04:00,2024-09-06 14:19:53.6 UTC-04:00,1,1.5,1.7,,,,-77.03121841,42.87830435,190.511,2420.189,mountpoint3,Global CS,7,9,0,0,0
9,18,,,,,,-77.01115325,42.89427922,143.005,Global,3.8,0.012,0.012,0.011,0.017,1.434,m,FIX,2024-09-06 14:20:13.6 UTC-04:00,2024-09-06 14:20:13.6 UTC-04:00,1,1.9,2.2,,,,-77.03121841,42.87830435,190.511,2416.248,mountpoint3,Global CS,7,9,0,0,0
