Image_ID,Computer_Time,ROS_Time_Stamp,Chunk_Frame_ID,Chunk_Time,Latitude,Longitude
29,2024-09-20-14-40-22-175,1726857622,140,5.08E+11,42.89456602,-77.01116628
30,2024-09-20-14-40-22-697,1726857623,141,5.09E+11,42.8945619,-77.0111663
31,2024-09-20-14-40-23-220,1726857623,142,5.09E+11,42.89455927,-77.01116659
32,2024-09-20-14-40-23-742,1726857624,143,5.10E+11,42.89455492,-77.01116659
33,2024-09-20-14-40-24-265,1726857624,144,5.10E+11,42.89455184,-77.01116685
34,2024-09-20-14-40-24-787,1726857625,145,5.11E+11,42.89454723,-77.01116679
35,2024-09-20-14-40-25-309,1726857625,146,5.11E+11,42.89454255,-77.01116684
36,2024-09-20-14-40-25-831,1726857626,147,5.12E+11,42.89453963,-77.01116661
37,2024-09-20-14-40-26-354,1726857626,148,5.12E+11,42.89453489,-77.01116612
38,2024-09-20-14-40-26-876,1726857627,149,5.13E+11,42.894532,-77.011166
39,2024-09-20-14-40-27-398,1726857627,150,5.13E+11,42.89452737,-77.0111656
40,2024-09-20-14-40-27-920,1726857628,151,5.14E+11,42.8945227,-77.01116556
41,2024-09-20-14-40-28-443,1726857628,152,5.14E+11,42.8945197,-77.01116523
42,2024-09-20-14-40-28-965,1726857629,153,5.15E+11,42.89451507,-77.01116498
43,2024-09-20-14-40-29-487,1726857629,154,5.15E+11,42.89451202,-77.01116489
44,2024-09-20-14-40-30-009,1726857630,155,5.16E+11,42.89450718,-77.01116413
45,2024-09-20-14-40-30-532,1726857631,156,5.16E+11,42.89450266,-77.01116406
46,2024-09-20-14-40-31-053,1726857631,157,5.17E+11,42.89449942,-77.01116378
47,2024-09-20-14-40-31-577,1726857632,158,5.17E+11,42.89449482,-77.01116348
48,2024-09-20-14-40-32-097,1726857632,159,5.18E+11,42.89449027,-77.01116306
49,2024-09-20-14-40-32-621,1726857633,160,5.18E+11,42.89448718,-77.01116315
50,2024-09-20-14-40-33-142,1726857633,161,5.19E+11,42.89448262,-77.01116366
51,2024-09-20-14-40-33-665,1726857634,162,5.20E+11,42.89447961,-77.01116393
52,2024-09-20-14-40-34-188,1726857634,163,5.20E+11,42.89447454,-77.01116468
53,2024-09-20-14-40-34-711,1726857635,164,5.21E+11,42.8944702,-77.01116489
54,2024-09-20-14-40-35-233,1726857635,165,5.21E+11,42.894467,-77.01116533
55,2024-09-20-14-40-35-754,1726857636,166,5.22E+11,42.89446251,-77.01116525
56,2024-09-20-14-40-36-277,1726857636,167,5.22E+11,42.89445939,-77.01116544
57,2024-09-20-14-40-36-799,1726857637,168,5.23E+11,42.89445487,-77.01116518
58,2024-09-20-14-40-37-321,1726857637,169,5.23E+11,42.8944504,-77.01116475
59,2024-09-20-14-40-37-844,1726857638,170,5.24E+11,42.89444715,-77.0111643
60,2024-09-20-14-40-38-365,1726857638,171,5.24E+11,42.89444261,-77.01116384
61,2024-09-20-14-40-38-888,1726857639,172,5.25E+11,42.89443815,-77.01116326
62,2024-09-20-14-40-39-410,1726857639,173,5.25E+11,42.8944348,-77.01116316
63,2024-09-20-14-40-39-932,1726857640,174,5.26E+11,42.89443031,-77.01116297
64,2024-09-20-14-40-40-455,1726857640,175,5.26E+11,42.89442732,-77.01116298
65,2024-09-20-14-40-40-977,1726857641,176,5.27E+11,42.89442248,-77.01116312
66,2024-09-20-14-40-41-499,1726857641,177,5.27E+11,42.89441799,-77.01116338
67,2024-09-20-14-40-42-022,1726857642,178,5.28E+11,42.89441483,-77.01116348
68,2024-09-20-14-40-42-543,1726857643,179,5.28E+11,42.89441056,-77.01116367
69,2024-09-20-14-40-43-065,1726857643,180,5.29E+11,42.89440725,-77.0111638
70,2024-09-20-14-40-43-588,1726857644,181,5.29E+11,42.89440268,-77.01116375
71,2024-09-20-14-40-44-110,1726857644,182,5.30E+11,42.89439802,-77.01116363
72,2024-09-20-14-40-44-632,1726857645,183,5.30E+11,42.89439495,-77.01116395
73,2024-09-20-14-40-45-154,1726857645,184,5.31E+11,42.89439032,-77.01116393
74,2024-09-20-14-40-45-677,1726857646,185,5.32E+11,42.89438725,-77.01116433
75,2024-09-20-14-40-46-200,1726857646,186,5.32E+11,42.89438254,-77.01116451
76,2024-09-20-14-40-46-722,1726857647,187,5.33E+11,42.89437775,-77.01116442
77,2024-09-20-14-40-47-244,1726857647,188,5.33E+11,42.89437483,-77.01116443
78,2024-09-20-14-40-47-767,1726857648,189,5.34E+11,42.89437012,-77.01116442
79,2024-09-20-14-40-48-289,1726857648,190,5.34E+11,42.89436684,-77.01116424
80,2024-09-20-14-40-48-810,1726857649,191,5.35E+11,42.8943626,-77.01116407
81,2024-09-20-14-40-49-334,1726857649,192,5.35E+11,42.89435767,-77.01116354
82,2024-09-20-14-40-49-855,1726857650,193,5.36E+11,42.89435454,-77.01116317
83,2024-09-20-14-40-50-379,1726857650,194,5.36E+11,42.89435004,-77.01116323
84,2024-09-20-14-40-50-901,1726857651,195,5.37E+11,42.89434558,-77.0111628
85,2024-09-20-14-40-51-423,1726857651,196,5.37E+11,42.89434229,-77.01116277
86,2024-09-20-14-40-51-945,1726857652,197,5.38E+11,42.89433764,-77.0111631
87,2024-09-20-14-40-52-468,1726857652,198,5.38E+11,42.89433458,-77.0111631
88,2024-09-20-14-40-52-989,1726857653,199,5.39E+11,42.89433002,-77.0111637
89,2024-09-20-14-40-53-514,1726857654,200,5.39E+11,42.89432533,-77.01116361
90,2024-09-20-14-40-54-034,1726857654,201,5.40E+11,42.8943223,-77.01116378
91,2024-09-20-14-40-54-557,1726857655,202,5.40E+11,42.89431773,-77.01116379
92,2024-09-20-14-40-55-079,1726857655,203,5.41E+11,42.89431471,-77.0111635
93,2024-09-20-14-40-55-600,1726857656,204,5.41E+11,42.89430992,-77.011163
94,2024-09-20-14-40-56-123,1726857656,205,5.42E+11,42.89430549,-77.01116229
95,2024-09-20-14-40-56-646,1726857657,206,5.43E+11,42.8943024,-77.01116184
96,2024-09-20-14-40-57-167,1726857657,207,5.43E+11,42.89429782,-77.01116147
97,2024-09-20-14-40-57-690,1726857658,208,5.44E+11,42.89429317,-77.01116139
98,2024-09-20-14-40-58-213,1726857658,209,5.44E+11,42.89429024,-77.01116155
99,2024-09-20-14-40-58-734,1726857659,210,5.45E+11,42.89428544,-77.01116164
100,2024-09-20-14-40-59-258,1726857659,211,5.45E+11,42.89428203,-77.01116171
101,2024-09-20-14-40-59-780,1726857660,212,5.46E+11,42.8942776,-77.01116187
102,2024-09-20-14-41-00-302,1726857660,213,5.46E+11,42.89427326,-77.0111618
103,2024-09-20-14-41-00-825,1726857661,214,5.47E+11,42.89426991,-77.01116128
104,2024-09-20-14-41-01-347,1726857661,215,5.47E+11,42.89426527,-77.01116101
105,2024-09-20-14-41-01-870,1726857662,216,5.48E+11,42.89426254,-77.01116064
106,2024-09-20-14-41-02-391,1726857662,217,5.48E+11,42.89425787,-77.01116065
107,2024-09-20-14-41-02-913,1726857663,218,5.49E+11,42.89425333,-77.01116035
108,2024-09-20-14-41-03-436,1726857663,219,5.49E+11,42.89425021,-77.01116042
109,2024-09-20-14-41-03-956,1726857664,220,5.50E+11,42.89424566,-77.01116037
110,2024-09-20-14-41-04-480,1726857664,221,5.50E+11,42.89424227,-77.01116022
